username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;salary;mortgage;others
ihackforth10;Estonia;30/10/1993;Private;High School;Married; Male;32;826;1363;false;iPhone, Audi
tbissatt11;Germany;22/09/1961;Private;High School;Married; Female;20;2989;1401;true;iPhone, Volkswagen
fsyddall12;Spain;29/01/1995;Private;Bachelors;Married; Male;18;884;1063;false;iPhone, Non
akruszelnicki13;Italy;06/04/1988;Private;High School;Married; Male;35;3032;1495;false;Iphone, Honda
mtanswell14;Italy;06/09/1963;Private;High School;Married; Male;35;2805;3073;false;iPhone, Others
mridgedell15;Poland;09/07/1963;Private;High School;Never Married; Male;38,5;3024;2139;true;Others, Others
rartinstall16;Poland;15/05/1999;Public;High School;Married; Male;30;1389;1321;true;Iphone, Volkswagen
rcorday17;Italy;03/12/1993;Private;Bachelors;Married; Female;30;1026;1506;false;iPhone, Ford
agiscken18;Germany;30/12/1961;Unknown;Bachelors;Separated; Male;25;2450;2763;false;Iphone, BMW
rmillington19;Poland;25/09/1999;Public;Bachelors;Married; Male;23,5;1779;964;false;Samsung, Others
pgoodsir1a;Germany;14/07/1977;Public;High School;Married; Male;22;3058;3104;true;Others, Ford
sbarratt1b;Latvia;06/12/1980;Public;Bachelors;Married; Female;40;2676;2920;false;iPhone, Volkswagen
dphillipson1c;Bulgaria;20/01/1964;Self Employed;Bachelors;Married; Male;30;2536;3421;false;iPhone, Others
salyukin1d;France;11/08/1989;Self Employed;Bachelors;Married; Male;28,5;2636;1938;false;Others, Others
dwhitham1e;Belgium;23/12/1982;Public;Masters;Divorced; Female;30,5;2028;2305;false;iPhone, Honda
dmaccaughen1f;Italy;24/06/1981;Unknown;Bachelors;Married; Female;27;2670;3388;false;iPhone, Non
crein1g;Luxembourg;31/03/1997;Private;High School;Married; Female;19;1114;905;true;iPhone, BMW
osandall1h;Slovakia;22/09/1986;Public;Bachelors;Separated; Male;39,5;2159;3200;false;iPhone, Ford
bjahn1i;Poland;17/01/1983;Unknown;Doctorate;Separated; Male;39,5;2180;1930;false;iPhone, Honda
hgrzeszczyk1j;Slovakia;26/06/1997;Self Employed;Doctorate;Married; Male;37,5;856;1180;true;Iphone, Others
mdayes1k;Italy;31/01/1986;Self Employed;High School;Married; Male;34;2879;2240;false;Samsung, Honda
kdoumic1l;Poland;09/09/1980;Self Employed;High School;Separated; Male;17,5;2003;1620;false;iPhone, Non
fkeeling1m;Hungary;10/02/1976;Self Employed;Bachelors;Married; Male;26;2592;1934;true;Samsung, Non
jswalwel1n;Belgium;23/11/1974;Unknown;Bachelors;Divorced; Male;22,5;2479;2105;true;Others, BMW
drugieri1o;Germany;10/08/1988;Private;Bachelors;Married; Male;29,5;3049;3216;false;Iphone, Others
efassmann1p;Germany;10/07/1987;Self Employed;Bachelors;Married; Male;20;2673;3198;false;Samsung, Others
cmaciunas1q;Austria;04/05/1998;Unknown;Bachelors;Married; Male;31;1805;1051;false;iPhone, Volkswagen
jknowlden1r;Italy;29/11/1996;Self Employed;Bachelors;Married; Male;33;810;1563;false;iPhone, Non
fpriter1s;Spain;06/10/1992;Private;High School;Married; Male;10;1365;1512;true;Iphone, Others
chaysham1t;Spain;05/02/1987;Public;Bachelors;Married; Male;21;2317;1527;false;Samsung, Honda
fworsell1u;France;30/05/1971;Unknown;Bachelors;Married; Female;35,5;2007;2922;true;iPhone, Others
melphinstone1v;Romania;19/04/1965;Public;Bachelors;Married; Female;16,5;2228;2456;false;iPhone, Seat
hlehrer1w;Spain;31/10/1972;Public;Bachelors;Separated; Male;38,5;2438;2318;false;Samsung, Others
jstegel1x;Italy;14/08/1994;Unknown;High School;Married; Male;21;1587;1571;false;iPhone, Volkswagen
gstruss1y;France;28/07/1983;Private;Bachelors;Married; Male;21;2735;3201;false;iPhone, Ford
gbakhrushkin1z;Romania;22/09/1993;Private;Bachelors;Never Married; Female;17;1614;1629;false;iPhone, Non
tcroizier20;Italy;13/07/1961;Public;Bachelors;Married; Male;22;2681;1664;false;iPhone, Seat
llambol21;Spain;04/11/1969;Unknown;Bachelors;Separated; Male;20,5;2117;3408;false;iPhone, Others
lleemans22;Germany;25/04/1980;Private;Bachelors;Divorced; Male;35;2829;1724;false;Samsung, Others
bmcjury23;Hungary;11/10/1981;Self Employed;High School;Married; Male;39;2795;2981;false;Samsung, Audi
cmcgrail24;Germany;24/01/1974;Public;Bachelors;Never Married; Male;29;2306;2867;false;Iphone, BMW
klibbis25;Germany;24/12/1993;Unknown;Bachelors;Married; Male;22;1440;1079;false;Others, Honda
bhousego26;Germany;13/09/1997;Self Employed;Doctorate;Never Married; Female;39,5;1557;1299;false;iPhone, Seat
gtowson27;France;15/12/1985;Unknown;Bachelors;Married; Male;31;2740;2005;false;iPhone, Non
mbeardmore28;Spain;02/05/1998;Private;Bachelors;Married; Male;31;1583;1405;false;Samsung, BMW
bsmithe29;Germany;31/12/1996;Self Employed;Bachelors;Married; Male;24;1811;961;false;Others, BMW
anovello2a;Ireland;18/09/1964;Unknown;High School;Married; Female;20;2773;3258;false;Samsung, Others
ghaylands2b;Germany;01/12/1986;Public;Bachelors;Married; Male;26,5;2463;3403;true;Samsung, Others
mcacacie2c;Poland;08/09/1984;Self Employed;High School;Separated; Female;19,5;2331;2028;true;iPhone, Others
mfernandes2d;Spain;17/01/1967;Self Employed;Bachelors;Never Married; Female;37,5;2905;3347;false;iPhone, Volkswagen
sproctor2e;Hungary;16/06/1987;Private;Bachelors;Married; Male;29;2586;1513;true;Others, Others
ahaycock2f;Germany;21/03/1997;Unknown;Bachelors;Married; Male;20,5;1708;987;true;iPhone, BMW
bfiltness2g;Sweden;12/11/1969;Self Employed;Bachelors;Married; Male;18;5960;2451;false;iPhone, BMW
lkneebone2h;France;22/09/1996;Public;Bachelors;Divorced; Female;38;1213;1513;true;Iphone, Others
bgrinley2i;Spain;22/06/1990;Unknown;High School;Never Married; Male;25,5;2590;1513;false;Samsung, Volkswagen
pclarridge2j;Spain;21/08/1996;Public;Bachelors;Married; Female;28;1995;1700;false;iPhone, Volkswagen
fagnew2k;Poland;09/04/1969;Public;Bachelors;Never Married; Female;11;2726;2861;false;Samsung, Audi
obarnish2l;Denmark;18/11/1985;Public;Doctorate;Married; Female;39,5;2343;2586;false;Others, Others
idincey2m;Germany;01/06/1984;Public;Bachelors;Married; Male;20;2337;1574;false;Iphone, Seat
pcamilli2n;Sweden;09/11/1978;Private;Masters;Married; Male;25;5649;1588;true;iPhone, Others
kteggin2o;Croatia;30/07/1996;Unknown;High School;Never Married; Male;18,5;1930;1040;true;Others, Ford
jstollsteiner2p;Belgium;15/07/1963;Self Employed;Masters;Married; Male;22,5;2747;1574;false;iPhone, Ford
csterry2q;Sweden;14/05/1970;Unknown;High School;Married; Female;37,5;5599;2037;false;Samsung, Non
jmalarkey2r;Italy;13/03/1966;Unknown;Masters;Separated; Male;37;2467;2529;false;iPhone, BMW
jvolkes2s;Spain;31/12/1994;Public;High School;Married; Male;10,5;1747;1119;true;iPhone, Volkswagen
labramzon2t;Romania;11/11/1965;Private;High School;Married; Male;30;2654;3139;true;iPhone, Non
aorae2u;Poland;21/07/1963;Self Employed;Bachelors;Divorced; Female;26;2716;2315;false;Iphone, Non
cbarkus2v;Latvia;05/06/1993;Public;Bachelors;Married; Female;18;1289;1261;true;iPhone, Non
iwhacket2w;Germany;11/05/1977;Self Employed;High School;Married; Male;30;2939;3367;false;Samsung, Non
blorentzen2x;Germany;28/04/1978;Unknown;Bachelors;Married; Male;26;2261;1944;false;Iphone, Seat
dsprey2y;France;16/01/1973;Self Employed;High School;Married; Female;38;2601;1603;false;Samsung, Ford
bnicholson2z;Germany;25/10/1971;Public;High School;Married; Male;33;2534;2526;false;Samsung, Ford
mbartholat30;Slovakia;05/06/1975;Public;Bachelors;Married; Female;30,5;3050;2801;false;Others, Others
gdaveren31;Netherlands;28/11/1975;Private;Bachelors;Married; Male;12,5;2875;1935;false;Samsung, Volkswagen
omarzello32;Germany;21/03/1985;Private;High School;Married; Male;30,5;2131;1476;false;Samsung, Others
dgorriessen33;Poland;14/04/1987;Self Employed;Bachelors;Separated; Male;19;2569;3495;false;iPhone, Others
kshaw34;Germany;19/09/1967;Public;Bachelors;Married; Male;17;2799;2357;true;iPhone, Audi
malthrop35;Italy;23/03/1976;Private;Bachelors;Married; Female;18;2933;1515;true;Others, Volkswagen
kbreton36;Spain;29/11/1990;Public;High School;Never Married; Female;20,5;2687;2364;false;iPhone, Others
abritton37;Spain;03/07/1974;Self Employed;Doctorate;Married; Male;31;2383;3313;true;Samsung, Seat
gharrie38;Germany;24/09/1971;Self Employed;Bachelors;Married; Male;37;2419;3121;true;iPhone, Others
hmoden39;Poland;25/03/1972;Public;Bachelors;Married; Male;13,5;2168;3181;true;iPhone, Honda
emeneyer3a;Greece;15/01/1969;Public;Doctorate;Married; Male;21;2027;2452;true;Samsung, Others
ahostan3b;Germany;08/06/1960;Self Employed;High School;Never Married; Male;25;2012;2319;true;iPhone, Others
grubie3c;Slovenia;17/10/1997;Self Employed;Doctorate;Married; Female;25;1963;1680;false;Samsung, Audi
csunner3d;France;08/09/1966;Private;Masters;Married; Male;28,5;2881;3494;false;iPhone, Audi
jzoppo3e;Italy;10/10/1972;Unknown;Doctorate;Separated; Male;19,5;2312;3273;true;Samsung, Others
lcarlsen3f;Hungary;08/08/1963;Public;Bachelors;Married; Male;5;2495;2969;false;iPhone, Audi
nfoukx3g;Poland;17/04/1984;Unknown;Masters;Divorced; Male;40;2424;3262;true;iPhone, BMW
cinnerstone3h;Italy;03/07/1961;Unknown;Bachelors;Divorced; Female;31,5;2200;3489;false;iPhone, Others
tfishpoole3i;Greece;24/10/1989;Private;High School;Married; Female;16,5;2262;2204;true;Samsung, Non
ljendrassik3j;Germany;01/09/1991;Self Employed;Bachelors;Never Married; Male;34,5;2985;1589;false;Iphone, Audi
cannes3k;Czech Republic;15/05/1974;Unknown;Bachelors;Married; Male;31;2842;2373;true;iPhone, Others
nmengue3l;Spain;18/02/1971;Private;High School;Married; Male;38;2876;2958;true;Iphone, Others
ebrickner3m;Germany;23/06/1991;Public;Bachelors;Married; Female;23,5;2216;1733;false;iPhone, Others
lellett3n;Italy;07/09/1994;Unknown;Bachelors;Married; Female;25;1484;910;true;iPhone, Others
mburgess3o;Romania;12/07/1970;Unknown;High School;Married; Male;29;2278;2080;false;iPhone, Non
nidell3p;France;01/12/1998;Self Employed;Bachelors;Divorced; Male;34,5;1201;1088;true;Samsung, Honda
lroget3q;Lithuania;01/06/1994;Public;Bachelors;Married; Female;11;1738;1291;true;Samsung, Volkswagen
rondrich3r;Spain;11/07/1976;Public;High School;Married; Male;7,5;2113;2790;false;Samsung, BMW
cnappin3s;Germany;09/06/1998;Private;High School;Married; Male;39,5;1551;1252;false;Samsung, Ford
paysik3t;Austria;03/11/1994;Public;High School;Married; Female;17;1179;1481;true;Iphone, Audi
onotman3u;Spain;15/02/1971;Public;Bachelors;Separated; Male;29;2732;1455;false;Samsung, Others
ewillmont3v;France;25/10/1964;Public;High School;Divorced; Male;30;2964;1806;true;Iphone, Seat
wglanders3w;France;23/06/1979;Public;Bachelors;Divorced; Male;24;2059;3155;true;Others, Non
zgatecliffe3x;Spain;20/11/1977;Self Employed;Bachelors;Separated; Female;32,5;2455;2638;false;iPhone, Others
npendell3y;Portugal;14/12/1989;Self Employed;Bachelors;Married; Male;17;2924;2023;false;Others, Others
ksancias3z;Germany;07/02/1995;Self Employed;High School;Married; Female;39,5;1995;944;false;iPhone, Others
wmatuskiewicz40;Ireland;10/09/1995;Private;Bachelors;Separated; Male;25;885;1602;true;Iphone, Volkswagen
dlillie41;Hungary;04/07/1984;Self Employed;High School;Married; Female;28,5;2138;2263;true;iPhone, Seat
fsquibb42;Germany;26/02/1996;Public;Masters;Divorced; Male;32;1720;959;false;Iphone, Ford
sriach43;Germany;12/12/1984;Public;High School;Divorced; Female;35,5;2951;2532;false;Iphone, Volkswagen
gdeathe44;France;26/08/1985;Public;Bachelors;Divorced; Male;26,5;2309;1900;false;Samsung, Audi
ldeddum45;Belgium;28/09/1980;Self Employed;Bachelors;Married; Female;19;2259;2578;false;Samsung, Ford
riannini46;Spain;14/08/1989;Unknown;Bachelors;Separated; Female;36,5;2104;3051;false;iPhone, Others
cmacenelly47;Poland;23/05/1984;Public;Bachelors;Married; Female;31,5;2575;1853;true;Iphone, BMW
vnyssen48;Spain;09/03/1968;Self Employed;Bachelors;Married; Female;31;2847;1962;false;iPhone, Audi
bkeeble49;Italy;06/10/1983;Self Employed;Bachelors;Divorced; Male;20;2414;3347;false;iPhone, Honda
mmactrustey4a;Germany;15/12/1970;Private;High School;Married; Male;29;2054;2956;false;Others, Non
apogosian4b;Germany;27/05/1972;Unknown;Doctorate;Married; Male;40;2015;1887;false;iPhone, Seat
dfelton4c;Cyprus;24/12/1985;Private;Masters;Divorced; Male;8;2464;3246;false;iPhone, Audi
hlascell4d;Portugal;01/10/1967;Unknown;Bachelors;Married; Male;39,5;2111;2869;false;iPhone, Honda
drupke4e;Italy;01/10/1975;Public;High School;Married; Male;35;2455;3002;false;iPhone, Ford
afortman4f;Germany;09/08/1968;Unknown;Bachelors;Married; Male;26,5;2491;3429;false;iPhone, Others
gblockey4g;Slovakia;11/05/1990;Self Employed;Bachelors;Married; Female;16,5;2702;3301;false;iPhone, Audi
efetherby4h;France;09/02/1982;Private;Doctorate;Never Married; Female;11;2681;2140;true;Iphone, Others
aforrestor4i;Germany;01/10/1997;Unknown;High School;Married; Female;36,5;1178;1620;false;iPhone, BMW
qdobeson4j;Spain;25/01/1983;Private;Doctorate;Separated; Female;36,5;2128;3326;true;iPhone, Others
csutheran4k;Romania;21/08/1966;Unknown;High School;Separated; Male;8,5;2564;2890;false;Others, Audi
fcrowdson4l;Netherlands;28/04/1962;Unknown;Bachelors;Married; Female;21,5;3039;2952;true;Samsung, Honda
igerkens4m;Germany;24/06/1964;Public;High School;Never Married; Male;17,5;2984;1759;false;Samsung, Others
bcausley4n;Germany;08/01/1996;Public;Doctorate;Married; Male;19;987;1668;true;iPhone, Others
clargen4o;Estonia;15/09/1977;Public;High School;Married; Male;24,5;2135;3052;false;iPhone, Volkswagen
fblakely4p;Poland;12/03/1989;Private;Doctorate;Divorced; Female;40;2970;3187;true;Others, Honda
sdenis4q;Romania;06/06/1991;Self Employed;Bachelors;Divorced; Male;33,5;2381;3085;true;Iphone, BMW
cperel4r;Germany;07/09/1995;Unknown;High School;Married; Male;29,5;1924;903;true;Others, Non
bfairham4s;Italy;27/08/1984;Unknown;Bachelors;Divorced; Male;40;2377;3123;true;Samsung, Ford
jfellon4t;Germany;27/08/1968;Public;High School;Separated; Male;36,5;2622;2983;true;Iphone, Audi
tmaccurtain4u;Italy;25/09/1999;Private;High School;Married; Male;6,5;985;1590;false;Iphone, BMW
wstilgo4v;Sweden;20/04/1964;Unknown;Masters;Married; Female;25,5;5310;3027;false;iPhone, Audi
rpettingill4w;Spain;19/07/1960;Private;Bachelors;Married; Male;37;2023;2452;true;Samsung, Others
fpestricke4x;France;09/03/1994;Public;Bachelors;Divorced; Male;40;1513;1002;false;Iphone, Others
mhuntly4y;Spain;27/12/1996;Private;Bachelors;Married; Male;30;1558;1275;true;Samsung, BMW
grussen4z;France;18/02/1998;Unknown;High School;Divorced; Male;19,5;1924;1112;true;Samsung, Ford
iogbourne50;Germany;18/06/1990;Public;High School;Married; Male;31;2216;3209;false;Iphone, Volkswagen
llambotin51;Croatia;16/09/1997;Private;High School;Married; Female;12,5;1323;1624;true;iPhone, BMW
ascreeton52;Italy;23/06/1988;Public;Bachelors;Separated; Male;35;2647;2017;true;Samsung, Non
rperez53;Italy;03/11/1981;Unknown;Bachelors;Married; Male;16,5;2068;2092;false;Samsung, BMW
chearnah54;Luxembourg;17/11/1970;Unknown;Doctorate;Married; Male;40;2330;1950;true;iPhone, Others
amacneilly55;Bulgaria;11/01/1966;Self Employed;Masters;Never Married; Male;38;2442;2620;true;iPhone, Seat
gantonelli56;Greece;05/07/1974;Private;Masters;Married; Female;24;2817;2290;false;iPhone, Volkswagen
smurray57;Belgium;06/11/1991;Self Employed;Bachelors;Never Married; Female;21,5;2403;1691;false;iPhone, Others
jbenesevich58;Poland;08/05/1970;Public;High School;Divorced; Female;8,5;2334;3216;true;Samsung, Others
gvinecombe59;Spain;16/08/1972;Private;Bachelors;Never Married; Male;40;2074;1503;true;iPhone, BMW
oquarmby5a;Italy;14/04/1993;Public;High School;Divorced; Female;26;1560;1002;true;Samsung, Others
abartul5b;Spain;03/02/1991;Self Employed;High School;Married; Male;24;2302;2201;true;Samsung, Non
myakushkin5c;France;05/05/1977;Private;High School;Separated; Male;31;2806;1493;false;Samsung, Others
akingcote5d;Estonia;05/07/1986;Public;Bachelors;Married; Male;38;2082;2618;true;Others, Ford
esmithe5e;Italy;08/06/1978;Public;Bachelors;Married; Male;26;2980;3038;true;iPhone, Ford
bmackniely5f;Spain;06/09/1971;Self Employed;Doctorate;Married; Male;22;2569;1457;true;iPhone, Seat
amytton5g;Italy;29/06/1964;Unknown;Doctorate;Divorced; Male;30,5;2884;2119;false;iPhone, Volkswagen
mbeneyto5h;Netherlands;24/02/1986;Unknown;Bachelors;Divorced; Female;39;3027;1689;false;iPhone, Non
ckinmond5i;Malta;12/07/1980;Public;High School;Married; Male;15;2647;1524;false;iPhone, Volkswagen
hmirando5j;Spain;02/12/1973;Private;Bachelors;Married; Male;20,5;2592;2959;true;Iphone, Non
jfellis5k;Italy;23/02/1983;Public;High School;Married; Female;24;2936;2338;true;Samsung, Honda
cbannester5l;Finland;15/05/1999;Private;Bachelors;Separated; Male;15,5;1071;1646;true;Samsung, BMW
ffinessy5m;France;09/02/1978;Public;High School;Never Married; Male;17;2938;3147;true;iPhone, Others
alangelaan5n;Hungary;28/02/1988;Private;Doctorate;Married; Female;25;2104;2499;false;Samsung, Others
cfairebrother5o;Slovenia;27/06/1997;Unknown;Bachelors;Never Married; Female;14;880;1158;false;iPhone, Non
iwooles5p;France;02/01/1974;Private;Bachelors;Married; Female;38;2683;3098;true;Samsung, Seat
sloder5q;Germany;26/03/1983;Private;Doctorate;Divorced; Male;21,5;2126;2702;false;iPhone, Others
fblakeston5r;Hungary;18/11/1992;Unknown;Doctorate;Separated; Male;24;1755;1466;false;Samsung, Ford
ctwiggins5s;Portugal;07/06/1960;Self Employed;Doctorate;Married; Female;15;2750;3285;true;iPhone, Non
mlorincz5t;Italy;02/12/1972;Private;High School;Married; Female;19,5;2581;3325;false;Iphone, Honda
mdeathridge5u;Ireland;13/11/1982;Public;Bachelors;Never Married; Male;21,5;2915;1812;false;Samsung, Others
cgrzeskowski5v;Austria;11/12/1964;Public;Bachelors;Married; Male;15,5;2422;2469;false;Others, Others
bkyles5w;Italy;29/06/1971;Unknown;Bachelors;Married; Female;20;2666;2322;false;iPhone, Non
gsnailham5x;Italy;23/05/1981;Public;Doctorate;Never Married; Male;20,5;2768;1892;false;iPhone, Others
fduny5y;Netherlands;26/02/1970;Public;High School;Married; Male;26;2216;2131;false;Others, Others
foldroyde5z;Spain;11/01/1999;Self Employed;Doctorate;Married; Male;17;1611;1653;false;Samsung, Others
bmawne60;France;05/06/1992;Unknown;Masters;Married; Female;20,5;1085;1304;true;iPhone, Others
ldoman61;Germany;21/01/1965;Unknown;Bachelors;Never Married; Male;28,5;2347;3312;false;iPhone, Others
mlemonnier62;Poland;01/01/1973;Private;Doctorate;Married; Male;16,5;3060;2507;false;iPhone, Audi
rworkes63;France;21/03/1963;Self Employed;Bachelors;Married; Male;37,5;2609;1786;false;iPhone, Non
rswaden64;Sweden;08/06/1982;Unknown;High School;Married; Male;22,5;4853;3373;false;iPhone, Others
logleasane65;Poland;08/10/1999;Self Employed;Bachelors;Married; Male;28,5;1798;1155;false;iPhone, Others
mstansall66;Italy;03/03/1969;Unknown;Bachelors;Married; Male;24;2487;3363;false;Others, Others
lmongenot67;Spain;29/07/1983;Public;Masters;Married; Male;40;2973;2297;true;iPhone, Audi
lcappell68;France;01/03/1982;Self Employed;Bachelors;Divorced; Female;17;2415;1652;false;Iphone, Others
kcaldes69;Spain;15/08/1961;Unknown;4456;Married; Female;32,5;2974;2303;false;Iphone, Seat
rboyford6a;France;30/06/1996;Public;High School;Married; Female;22,5;1345;1579;true;Others, Others
sfeeney6b;Germany;02/05/1987;Self Employed;Bachelors;Married; Male;22,5;2768;1976;true;Iphone, Honda
jhatliffe6c;Bulgaria;24/08/1979;Private;Bachelors;Married; Female;19,5;2537;3251;true;Others, Non
ccaldecott6d;Estonia;27/08/1968;Unknown;Bachelors;Never Married; Female;25;2993;2856;true;Iphone, Audi
dchadney6e;Greece;14/12/1995;Public;Doctorate;Married; Male;31;1727;1589;true;iPhone, Audi
nhoyes6f;Poland;17/06/1996;Self Employed;Masters;Married; Female;35;808;1413;false;Samsung, Volkswagen
dvarns6g;Croatia;06/12/1982;Private;Bachelors;Married; Male;38,5;2547;2650;false;iPhone, Others
pgittens6h;France;16/03/1966;Self Employed;High School;Married; Female;34;2030;2223;true;Iphone, Seat
kocorren6i;Germany;11/06/1990;Self Employed;High School;Divorced; Male;40;2955;1798;false;iPhone, Others
daldersey6j;Spain;24/01/1974;Unknown;Bachelors;Married; Male;23;2131;1798;true;Samsung, BMW
bhonack6k;Italy;25/03/1987;Unknown;Bachelors;Married; Female;26;2922;1848;true;iPhone, Seat
gespinet6l;Latvia;26/11/1979;Public;Bachelors;Married; Male;39,5;2864;2799;false;Samsung, Audi
ledess6m;Poland;23/06/1961;Public;Masters;Married; Male;21,5;2280;2880;false;Iphone, Others
lbarensky6n;Germany;01/10/1970;Private;Bachelors;Separated; Male;10;2495;2797;true;Others, Seat
acadden6o;France;24/11/1988;Unknown;High School;Married; Male;7;3049;2810;false;Others, Ford
cgeorgel6p;Romania;16/09/1981;Public;Bachelors;Never Married; Female;19;2925;2055;false;iPhone, Others
chordell6q;France;02/01/1968;Private;Bachelors;Married; Male;37,5;2018;3152;true;Iphone, Others
npaybody6r;Sweden;31/12/1967;Public;Doctorate;Married; Male;19;4132;3364;true;iPhone, Others
gjest6s;Poland;04/11/1994;Self Employed;Bachelors;Married; Male;39,5;1420;1303;true;iPhone, Non
jdametti6t;Germany;12/01/1988;Private;High School;Divorced; Male;30,5;2902;2040;true;iPhone, Ford
dgordongiles6u;Cyprus;06/12/1961;Self Employed;High School;Married; Male;16,5;2864;2025;true;Others, Non
crubinsaft6v;Netherlands;26/01/1961;Self Employed;High School;Never Married; Female;15;2454;2591;false;Iphone, Others
bvallender6w;Luxembourg;04/12/1965;Unknown;Bachelors;Married; Male;20;2147;2278;true;iPhone, Volkswagen
jherries6x;Poland;01/04/1965;Public;Masters;Married; Male;17;2309;1771;false;Samsung, Others
mtregenza6y;Hungary;29/11/1982;Private;Bachelors;Married; Female;12,5;2122;1591;false;Iphone, Non
ppettko6z;Germany;13/02/1976;Public;Masters;Married; Female;18,5;2513;2248;true;iPhone, Others
ehutsby70;Italy;13/11/1999;Private;Bachelors;Married; Female;39,5;1822;965;false;iPhone, Others
coldred71;Netherlands;03/02/1992;Public;Bachelors;Separated; Male;35;1378;1188;false;Iphone, Non
ctroucher72;Poland;11/10/1968;Unknown;High School;Married; Male;19;2565;2511;true;iPhone, Audi
mjoutapavicius73;Italy;28/11/1963;Unknown;Doctorate;Married; Male;28,5;2860;1866;false;Iphone, Others
rloynton74;Poland;06/03/1979;Public;Masters;Never Married; Female;22,5;2196;1802;false;Iphone, Audi
dlocks75;Romania;24/04/1997;Unknown;High School;Married; Female;27;950;1295;false;Others, Seat
fbarford76;Sweden;16/03/1983;Unknown;Masters;Married; Female;23,5;5875;3388;false;iPhone, Others
atrevithick77;Netherlands;07/08/1985;Unknown;High School;Separated; Male;40;2829;2312;false;iPhone, Audi
