username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;others
bvautino;Germany;3/15/1988;Public;Bachelors;Never Married; Female;24,5;23694;2113;true;iPhone, Seat
clawleffp;Germany;11/03/1982;Unknown;High School;Married; Male;38;8967;810;true;iPhone, Non
ebricknerq;Germany;8/17/1980;Self Employed;Bachelors;Married; Male;36;30812;3537;false;iPhone, Others
bbrunigesr;Portugal;08/07/1979;Self Employed;High School;Divorced; Male;17;9358;1353;true;iPhone, Ford
mleckys;France;04/11/1976;Unknown;Bachelors;Married; Male;36,5;86260;5245;true;Iphone, Volkswagen
laxcellt;Italy;11/24/1977;Self Employed;Bachelors;Married; Male;35,5;3039;576;true;iPhone, Others
gloughlanu;France;05/04/1983;Public;Masters;Married; Male;37,5;5886;1211;false;Samsung, Others
drasellesv;Spain;12/15/1984;Public;Doctorate;Separated; Male;29;5916;1833;false;Iphone, Honda
ekeddyw;Spain;3/28/1990;Unknown;High School;Married; Male;17;9138;421;true;iPhone, Ford
jcarrodusx;Germany;02/03/1980;Self Employed;Bachelors;Never Married; Male;29,5;5975;584;true;iPhone, Audi
lromaniny;Germany;12/11/1985;Private;High School;Married; Male;28,5;30426;4012;false;Iphone, Audi
sswatheridgez;Germany;10/18/1984;Private;Bachelors;Married; Male;25;6929;1662;false;Samsung, Others
ihackforth10;France;4/16/1987;Private;High School;Married; Male;32;18555;718;false;iPhone, Audi
tbissatt11;Germany;1/20/1985;Private;High School;Married; Female;20;8354;1010;true;iPhone, Volkswagen
fsyddall12;Germany;5/24/1977;Private;Bachelors;Married; Male;18;7584;1207;false;iPhone, Non
akruszelnicki13;Germany;9/26/1990;Private;High School;Married; Male;35;8863;853;false;Iphone, Honda
mtanswell14;Italy;02/07/1985;Private;High School;Married; Male;35;9605;860;false;iPhone, Others
mridgedell15;Spain;07/06/1974;Private;High School;Never Married; Male;38,5;37873;2248;true;Others, Others
rartinstall16;Germany;4/26/1986;Public;High School;Married; Male;30;70971;4600;true;Iphone, Volkswagen
rcorday17;Spain;08/03/1975;Private;Bachelors;Married; Female;30;6591;1284;false;iPhone, Ford
agiscken18;France;06/06/1989;Unknown;Bachelors;Separated; Male;25;8510;1119;false;Iphone, BMW
rmillington19;Portugal;01/07/1988;Public;Bachelors;Married; Male;23,5;9395;1343;false;Samsung, Others
pgoodsir1a;France;3/30/1985;Public;High School;Married; Male;22;9817;1018;true;Others, Ford
sbarratt1b;Spain;1/28/1986;Public;Bachelors;Married; Female;40;7507;1930;false;iPhone, Volkswagen
dphillipson1c;Portugal;01/11/1991;Self Employed;Bachelors;Married; Male;30;9690;1956;false;iPhone, Others
salyukin1d;France;3/15/1987;Self Employed;Bachelors;Married; Male;28,5;5533;903;false;Others, Others
dwhitham1e;Germany;7/26/1973;Public;Masters;Divorced; Female;30,5;3545;799;false;iPhone, Honda
dmaccaughen1f;Spain;4/15/1976;Unknown;Bachelors;Married; Female;27;8933;1706;false;iPhone, Non
crein1g;Germany;7/22/1987;Private;High School;Married; Female;19;4526;540;true;iPhone, BMW
osandall1h;Germany;2/22/1987;Public;Bachelors;Separated; Male;39,5;43529;2525;false;iPhone, Ford
bjahn1i;Germany;1/21/1989;Unknown;Doctorate;Separated; Male;39,5;7089;1090;false;iPhone, Honda
hgrzeszczyk1j;Germany;06/04/1971;Self Employed;Doctorate;Married; Male;37,5;5745;1924;true;Iphone, Others
mdayes1k;Portugal;4/29/1989;Self Employed;High School;Married; Male;34;8587;1630;false;Samsung, Honda
kdoumic1l;Portugal;8/18/1981;Self Employed;High School;Separated; Male;17,5;7442;1369;false;iPhone, Non
fkeeling1m;Germany;02/02/1972;Self Employed;Bachelors;Married; Male;26;25528;4345;true;Samsung, Non
jswalwel1n;Germany;03/10/1978;Unknown;Bachelors;Divorced; Male;22,5;27349;6757;true;Others, BMW
drugieri1o;Germany;9/28/1976;Private;Bachelors;Married; Male;29,5;5223;1012;false;Iphone, Others
efassmann1p;Germany;10/26/1988;Self Employed;Bachelors;Married; Male;20;73625;5233;false;Samsung, Others
cmaciunas1q;Spain;10/10/1981;Unknown;Bachelors;Married; Male;31;9976;1910;false;iPhone, Volkswagen
jknowlden1r;Germany;3/13/1989;Self Employed;Bachelors;Married; Male;33;5863;1571;false;iPhone, Non
fpriter1s;Germany;11/30/1978;Private;High School;Married; Male;10;3374;341;true;Iphone, Others
chaysham1t;France;7/14/1989;Public;Bachelors;Married; Male;21;3594;1028;false;Samsung, Honda
fworsell1u;Spain;3/25/1971;Unknown;Bachelors;Married; Female;35,5;8817;1097;true;iPhone, Others
melphinstone1v;Germany;9/20/1974;Public;Bachelors;Married; Female;16,5;5398;746;false;iPhone, Seat
hlehrer1w;France;9/21/1981;Public;Bachelors;Separated; Male;38,5;6860;1923;false;Samsung, Others
jstegel1x;Portugal;09/03/1971;Unknown;High School;Married; Male;21;3427;945;false;iPhone, Volkswagen
gstruss1y;Portugal;08/11/1976;Private;Bachelors;Married; Male;21;28701;3181;false;iPhone, Ford
gbakhrushkin1z;Portugal;12/08/1986;Private;Bachelors;Never Married; Female;17;6773;1160;false;iPhone, Non
tcroizier20;France;12/09/1979;Public;Bachelors;Married; Male;22;4014;1034;false;iPhone, Seat
llambol21;Spain;1/14/1982;Unknown;Bachelors;Separated; Male;20,5;56256;5067;false;iPhone, Others
lleemans22;Portugal;7/14/1989;Private;Bachelors;Divorced; Male;35;8758;657;false;Samsung, Others
bmcjury23;Portugal;11/12/1985;Self Employed;High School;Married; Male;39;3533;614;false;Samsung, Audi
cmcgrail24;Germany;05/12/1989;Public;Bachelors;Never Married; Male;29;7854;1593;false;Iphone, BMW
klibbis25;France;11/11/1985;Unknown;Bachelors;Married; Male;22;9682;1233;false;Others, Honda
bhousego26;Portugal;05/04/1975;Self Employed;Doctorate;Never Married; Female;39,5;3013;1073;false;iPhone, Seat
gtowson27;Germany;06/05/1989;Unknown;Bachelors;Married; Male;31;6678;1877;false;iPhone, Non
mbeardmore28;Germany;04/08/1970;Private;Bachelors;Married; Male;31;6958;789;false;Samsung, BMW
bsmithe29;Portugal;04/01/1985;Self Employed;Bachelors;Married; Male;24;6588;1992;false;Others, BMW
anovello2a;Italy;10/31/1978;Unknown;High School;Married; Female;20;7794;525;false;Samsung, Others
ghaylands2b;Germany;1/17/1981;Public;Bachelors;Married; Male;26,5;40603;5499;true;Samsung, Others
mcacacie2c;Spain;11/23/1972;Self Employed;High School;Separated; Female;19,5;25804;4786;true;iPhone, Others
mfernandes2d;Germany;10/27/1971;Self Employed;Bachelors;Never Married; Female;37,5;12087;618;false;iPhone, Volkswagen
sproctor2e;Spain;11/09/1978;Private;Bachelors;Married; Male;29;39199;6278;true;Others, Others
ahaycock2f;Spain;10/17/1986;Unknown;Bachelors;Married; Male;20,5;8417;558;true;iPhone, BMW
bfiltness2g;France;9/13/1973;Self Employed;Bachelors;Married; Male;18;28578;5449;false;iPhone, BMW
lkneebone2h;Portugal;2/28/1980;Public;Bachelors;Divorced; Female;38;7219;1034;true;Iphone, Others
bgrinley2i;Portugal;10/05/1984;Unknown;High School;Never Married; Male;25,5;27193;2578;false;Samsung, Volkswagen
pclarridge2j;Spain;07/04/1987;Public;Bachelors;Married; Female;28;8283;1599;false;iPhone, Volkswagen
fagnew2k;Germany;11/20/1979;Public;Bachelors;Never Married; Female;11;6673;324;false;Samsung, Audi
obarnish2l;Germany;11/15/1975;Public;Doctorate;Married; Female;39,5;4834;1492;false;Others, Others
idincey2m;France;9/28/1971;Public;Bachelors;Married; Male;20;6065;1549;false;Iphone, Seat
pcamilli2n;Spain;12/03/1971;Private;Masters;Married; Male;25;4213;851;true;iPhone, Others
kteggin2o;France;07/06/1977;Unknown;High School;Never Married; Male;18,5;9624;1823;true;Others, Ford
jstollsteiner2p;France;11/24/1974;Self Employed;Masters;Married; Male;22,5;6244;1844;false;iPhone, Ford
csterry2q;Italy;08/01/1979;Unknown;High School;Married; Female;37,5;8773;1188;false;Samsung, Non
jmalarkey2r;Germany;9/14/1981;Unknown;Masters;Separated; Male;37;4926;967;false;iPhone, BMW
jvolkes2s;Germany;10/11/1975;Public;High School;Married; Male;10,5;6842;376;true;iPhone, Volkswagen
labramzon2t;Spain;06/11/1986;Private;High School;Married; Male;30;3392;1625;true;iPhone, Non
aorae2u;Spain;04/02/1981;Self Employed;Bachelors;Divorced; Female;26;4153;1477;false;Iphone, Non
cbarkus2v;Portugal;9/26/1973;Public;Bachelors;Married; Female;18;25797;6890;true;iPhone, Non
iwhacket2w;Italy;11/25/1977;Self Employed;High School;Married; Male;30;4669;1023;false;Samsung, Non
blorentzen2x;Spain;1/31/1982;Unknown;Bachelors;Married; Male;26;3505;1075;false;Iphone, Seat
dsprey2y;France;12/11/1980;Self Employed;High School;Married; Female;38;8166;1908;false;Samsung, Ford
bnicholson2z;France;8/18/1974;Public;High School;Married; Male;33;8345;587;false;Samsung, Ford
mbartholat30;Spain;03/11/1982;Public;Bachelors;Married; Female;30,5;4652;1097;false;Others, Others
gdaveren31;Portugal;11/08/1980;Private;Bachelors;Married; Male;12,5;8289;318;false;Samsung, Volkswagen
omarzello32;Germany;9/26/1982;Private;High School;Married; Male;30,5;6613;843;false;Samsung, Others
dgorriessen33;France;02/07/1973;Self Employed;Bachelors;Separated; Male;19;7525;1692;false;iPhone, Others
kshaw34;Germany;7/28/1988;Public;Bachelors;Married; Male;17;5421;1680;true;iPhone, Audi
malthrop35;Spain;8/24/1978;Private;Bachelors;Married; Female;18;3616;1314;true;Others, Volkswagen
kbreton36;France;06/07/1984;Public;High School;Never Married; Female;20,5;5049;662;false;iPhone, Others
abritton37;Germany;7/17/1986;Self Employed;Doctorate;Married; Male;31;8679;1804;true;Samsung, Seat
gharrie38;Italy;9/27/1983;Self Employed;Bachelors;Married; Male;37;4929;1590;true;iPhone, Others
hmoden39;Spain;3/13/1985;Public;Bachelors;Married; Male;13,5;9264;308;true;iPhone, Honda
emeneyer3a;France;11/27/1984;Public;Doctorate;Married; Male;21;6260;1367;true;Samsung, Others
ahostan3b;Germany;4/15/1980;Self Employed;High School;Never Married; Male;25;5426;1161;true;iPhone, Others
grubie3c;Germany;09/02/1978;Self Employed;Doctorate;Married; Female;25;7772;732;false;Samsung, Audi
csunner3d;Spain;07/10/1980;Private;Masters;Married; Male;28,5;3924;1919;false;iPhone, Audi
jzoppo3e;Spain;4/28/1978;Unknown;Doctorate;Separated; Male;19,5;96522;6953;true;Samsung, Others
lcarlsen3f;France;06/04/1980;Public;Bachelors;Married; Male;5;4386;333;false;iPhone, Audi
nfoukx3g;Spain;2/20/1986;Unknown;Masters;Divorced; Male;40;4495;980;true;iPhone, BMW
cinnerstone3h;Italy;11/25/1981;Unknown;Bachelors;Divorced; Female;31,5;5911;717;false;iPhone, Others
tfishpoole3i;Italy;10/09/1979;Private;High School;Married; Female;16,5;5115;1189;true;Samsung, Non
ljendrassik3j;France;6/13/1988;Self Employed;Bachelors;Never Married; Male;34,5;3394;640;false;Iphone, Audi
cannes3k;Germany;2/28/1991;Unknown;Bachelors;Married; Male;31;33504;4438;true;iPhone, Others
nmengue3l;Germany;10/16/1970;Private;High School;Married; Male;38;7716;1318;true;Iphone, Others
ebrickner3m;France;02/03/1979;Public;Bachelors;Married; Female;23,5;3342;1773;false;iPhone, Others
lellett3n;Italy;9/29/1976;Unknown;Bachelors;Married; Female;25;3911;723;true;iPhone, Others
mburgess3o;France;4/24/1988;Unknown;High School;Married; Male;29;9056;916;false;iPhone, Non
nidell3p;Italy;9/26/1971;Self Employed;Bachelors;Divorced; Male;34,5;5824;1565;true;Samsung, Honda
lroget3q;Italy;05/04/1983;Public;Bachelors;Married; Female;11;6482;480;true;Samsung, Volkswagen
rondrich3r;France;3/25/1981;Public;High School;Married; Male;7,5;3677;450;false;Samsung, BMW
cnappin3s;Spain;02/06/1977;Private;High School;Married; Male;39,5;4402;1064;false;Samsung, Ford
paysik3t;Germany;02/07/1985;Public;High School;Married; Female;17;7308;1348;true;Iphone, Audi
onotman3u;France;11/28/1985;Public;Bachelors;Separated; Male;29;5466;1339;false;Samsung, Others
ewillmont3v;Spain;11/22/1980;Public;High School;Divorced; Male;30;22026;2841;true;Iphone, Seat
wglanders3w;Portugal;5/23/1980;Public;Bachelors;Divorced; Male;24;4212;1514;true;Others, Non
zgatecliffe3x;Germany;02/09/1991;Self Employed;Bachelors;Separated; Female;32,5;7479;1988;false;iPhone, Others
npendell3y;Germany;07/09/1976;Self Employed;Bachelors;Married; Male;17;3862;1125;false;Others, Others
ksancias3z;Germany;8/17/1971;Self Employed;High School;Married; Female;39,5;62248;4819;false;iPhone, Others
wmatuskiewicz40;Portugal;12/16/1981;Private;Bachelors;Separated; Male;25;5570;580;true;Iphone, Volkswagen
dlillie41;France;10/04/1983;Self Employed;High School;Married; Female;28,5;9238;992;true;iPhone, Seat
fsquibb42;France;4/18/1977;Public;Masters;Divorced; Male;32;7586;553;false;Iphone, Ford
sriach43;Spain;9/24/1983;Public;High School;Divorced; Female;35,5;3030;1341;false;Iphone, Volkswagen
gdeathe44;Spain;4/17/1990;Public;Bachelors;Divorced; Male;26,5;13749;1756;false;Samsung, Audi
ldeddum45;Portugal;9/29/1985;Self Employed;Bachelors;Married; Female;19;5373;1243;false;Samsung, Ford
riannini46;Portugal;09/02/1970;Unknown;Bachelors;Separated; Female;36,5;4810;1092;false;iPhone, Others
cmacenelly47;Germany;10/15/1980;Public;Bachelors;Married; Female;31,5;7191;614;true;Iphone, BMW
vnyssen48;Portugal;5/20/1976;Self Employed;Bachelors;Married; Female;31;3664;1127;false;iPhone, Audi
bkeeble49;France;10/22/1982;Self Employed;Bachelors;Divorced; Male;20;7962;1326;false;iPhone, Honda
mmactrustey4a;Germany;10/07/1973;Private;High School;Married; Male;29;32910;5990;false;Others, Non
apogosian4b;Germany;11/10/1983;Unknown;Doctorate;Married; Male;40;8324;1900;false;iPhone, Seat
dfelton4c;Germany;02/02/1988;Private;Masters;Divorced; Male;8;9167;475;false;iPhone, Audi
hlascell4d;France;11/08/1986;Unknown;Bachelors;Married; Male;39,5;18726;1256;false;iPhone, Honda
drupke4e;Germany;03/01/1974;Public;High School;Married; Male;35;9141;1130;false;iPhone, Ford
afortman4f;Germany;1/28/1987;Unknown;Bachelors;Married; Male;26,5;6772;1804;false;iPhone, Others
gblockey4g;Portugal;8/17/1971;Self Employed;Bachelors;Married; Female;16,5;7112;1827;false;iPhone, Audi
efetherby4h;Portugal;10/04/1979;Private;Doctorate;Never Married; Female;11;8938;310;true;Iphone, Others
aforrestor4i;Germany;5/23/1981;Unknown;High School;Married; Female;36,5;6448;732;false;iPhone, BMW
qdobeson4j;Portugal;10/01/1974;Private;Doctorate;Separated; Female;36,5;5398;1075;true;iPhone, Others
csutheran4k;Germany;4/29/1987;Unknown;High School;Separated; Male;8,5;7758;457;false;Others, Audi
fcrowdson4l;Spain;11/13/1972;Unknown;Bachelors;Married; Female;21,5;8410;1335;true;Samsung, Honda
igerkens4m;Portugal;8/13/1988;Public;High School;Never Married; Male;17,5;7544;1569;false;Samsung, Others
bcausley4n;Germany;09/04/1972;Public;Doctorate;Married; Male;19;5343;1988;true;iPhone, Others
clargen4o;France;2/26/1985;Public;High School;Married; Male;24,5;8094;1771;false;iPhone, Volkswagen
fblakely4p;Spain;2/17/1976;Private;Doctorate;Divorced; Female;40;5437;1900;true;Others, Honda
sdenis4q;France;08/05/1972;Self Employed;Bachelors;Divorced; Male;33,5;5937;507;true;Iphone, BMW
cperel4r;Portugal;06/08/1981;Unknown;High School;Married; Male;29,5;26203;2116;true;Others, Non
bfairham4s;Italy;08/10/1977;Unknown;Bachelors;Divorced; Male;40;8305;1016;true;Samsung, Ford
jfellon4t;Germany;6/27/1977;Public;High School;Separated; Male;36,5;8404;586;true;Iphone, Audi
tmaccurtain4u;Spain;07/02/1986;Private;High School;Married; Male;6,5;9221;387;false;Iphone, BMW
wstilgo4v;Italy;12/31/1973;Unknown;Masters;Married; Female;25,5;8014;1989;false;iPhone, Audi
rpettingill4w;Germany;1/14/1988;Private;Bachelors;Married; Male;37;39040;5531;true;Samsung, Others
fpestricke4x;Portugal;01/04/1983;Public;Bachelors;Divorced; Male;40;6383;1129;false;Iphone, Others
mhuntly4y;France;5/25/1987;Private;Bachelors;Married; Male;30;7204;1149;true;Samsung, BMW
grussen4z;Germany;12/21/1989;Unknown;High School;Divorced; Male;19,5;9164;543;true;Samsung, Ford
iogbourne50;Italy;05/01/1984;Public;High School;Married; Male;31;52279;2828;false;Iphone, Volkswagen
llambotin51;Portugal;07/04/1987;Private;High School;Married; Female;12,5;8051;371;true;iPhone, BMW
ascreeton52;France;9/22/1975;Public;Bachelors;Separated; Male;35;4512;1680;true;Samsung, Non
rperez53;Spain;8/13/1986;Unknown;Bachelors;Married; Male;16,5;3376;403;false;Samsung, BMW
chearnah54;France;3/27/1983;Unknown;Doctorate;Married; Male;40;9261;1446;true;iPhone, Others
amacneilly55;Italy;7/18/1971;Self Employed;Masters;Never Married; Male;38;5448;1335;true;iPhone, Seat
gantonelli56;Spain;02/10/1972;Private;Masters;Married; Female;24;67559;2962;false;iPhone, Volkswagen
smurray57;Germany;3/29/1973;Self Employed;Bachelors;Never Married; Female;21,5;30147;6630;false;iPhone, Others
jbenesevich58;Italy;2/14/1974;Public;High School;Divorced; Female;8,5;3161;318;true;Samsung, Others
gvinecombe59;Spain;12/13/1982;Private;Bachelors;Never Married; Male;40;53698;2043;true;iPhone, BMW
oquarmby5a;Germany;09/08/1984;Public;High School;Divorced; Female;26;4975;1694;true;Samsung, Others
abartul5b;Portugal;10/17/1980;Self Employed;High School;Married; Male;24;5296;1321;true;Samsung, Non
myakushkin5c;Spain;6/18/1990;Private;High School;Separated; Male;31;5180;1460;false;Samsung, Others
akingcote5d;Portugal;11/15/1982;Public;Bachelors;Married; Male;38;4906;525;true;Others, Ford
esmithe5e;Portugal;04/06/1973;Public;Bachelors;Married; Male;26;7700;1032;true;iPhone, Ford
bmackniely5f;Germany;10/11/1978;Self Employed;Doctorate;Married; Male;22;33621;3437;true;iPhone, Seat
amytton5g;Spain;10/23/1980;Unknown;Doctorate;Divorced; Male;30,5;34755;5811;false;iPhone, Volkswagen
mbeneyto5h;Germany;3/24/1972;Unknown;Bachelors;Divorced; Female;39;77636;5989;false;iPhone, Non
ckinmond5i;Italy;5/22/1980;Public;High School;Married; Male;15;9494;415;false;iPhone, Volkswagen
hmirando5j;Spain;6/17/1979;Private;Bachelors;Married; Male;20,5;3858;1242;true;Iphone, Non
jfellis5k;France;11/25/1985;Public;High School;Married; Female;24;19374;1135;true;Samsung, Honda
cbannester5l;France;8/27/1974;Private;Bachelors;Separated; Male;15,5;7724;431;true;Samsung, BMW
ffinessy5m;France;12/06/1985;Public;High School;Never Married; Male;17;8824;1421;true;iPhone, Others
alangelaan5n;Germany;3/22/1982;Private;Doctorate;Married; Female;25;35525;4842;false;Samsung, Others
cfairebrother5o;Portugal;11/20/1985;Unknown;Bachelors;Never Married; Female;14;8854;342;false;iPhone, Non
iwooles5p;Spain;05/01/1973;Private;Bachelors;Married; Female;38;3256;1626;true;Samsung, Seat
sloder5q;Germany;10/20/1988;Private;Doctorate;Divorced; Male;21,5;400000;30000;false;iPhone, Others
fblakeston5r;Germany;1/19/1971;Unknown;Doctorate;Separated; Male;24;5802;574;false;Samsung, Ford
ctwiggins5s;Portugal;4/13/1985;Self Employed;Doctorate;Married; Female;15;5497;325;true;iPhone, Non
mlorincz5t;Spain;12/21/1975;Private;High School;Married; Female;19,5;8613;1453;false;Iphone, Honda
mdeathridge5u;France;4/27/1988;Public;Bachelors;Never Married; Male;21,5;5823;530;false;Samsung, Others
cgrzeskowski5v;Italy;6/25/1971;Public;Bachelors;Married; Male;15,5;9544;400;false;Others, Others
bkyles5w;France;03/08/1975;Unknown;Bachelors;Married; Female;20;9518;1890;false;iPhone, Non
gsnailham5x;Spain;06/05/1979;Public;Doctorate;Never Married; Male;20,5;28704;4087;false;iPhone, Others
fduny5y;Spain;8/22/1976;Public;High School;Married; Male;26;4288;726;false;Others, Others
foldroyde5z;Germany;05/03/1979;Self Employed;Doctorate;Married; Male;17;4017;1575;false;Samsung, Others
bmawne60;Italy;11/20/1975;Unknown;Masters;Married; Female;20,5;37330;6206;true;iPhone, Others
ldoman61;Portugal;05/05/1980;Unknown;Bachelors;Never Married; Male;28,5;7962;1455;false;iPhone, Others
mlemonnier62;Germany;7/30/1973;Private;Doctorate;Married; Male;16,5;4884;712;false;iPhone, Audi
rworkes63;Germany;02/12/1979;Self Employed;Bachelors;Married; Male;37,5;7996;506;false;iPhone, Non
rswaden64;France;02/11/1977;Unknown;High School;Married; Male;22,5;7609;1681;false;iPhone, Others
logleasane65;Portugal;12/18/1972;Self Employed;Bachelors;Married; Male;28,5;6075;806;false;iPhone, Others
mstansall66;Spain;05/06/1970;Unknown;Bachelors;Married; Male;24;32910;5197;false;Others, Others
lmongenot67;France;12/24/1980;Public;Masters;Married; Male;40;8717;1389;true;iPhone, Audi
lcappell68;Spain;03/08/1986;Self Employed;Bachelors;Divorced; Female;17;3481;1319;false;Iphone, Others
kcaldes69;Germany;4/29/1982;Unknown;High School;Married; Female;32,5;9498;1352;false;Iphone, Seat
rboyford6a;Portugal;03/01/1986;Public;High School;Married; Female;22,5;34981;5332;true;Others, Others
sfeeney6b;Spain;5/30/1971;Self Employed;Bachelors;Married; Male;22,5;7746;1956;true;Iphone, Honda
jhatliffe6c;Portugal;3/22/1979;Private;Bachelors;Married; Female;19,5;7321;1505;true;Others, Non
ccaldecott6d;Spain;11/01/1987;Unknown;Bachelors;Never Married; Female;25;38530;3616;true;Iphone, Audi
dchadney6e;Portugal;7/16/1976;Public;Doctorate;Married; Male;31;26125;6100;true;iPhone, Audi
nhoyes6f;France;10/22/1985;Self Employed;Masters;Married; Female;35;3498;650;false;Samsung, Volkswagen
dvarns6g;Spain;11/17/1989;Private;Bachelors;Married; Male;38,5;3157;830;false;iPhone, Others
pgittens6h;France;12/14/1987;Self Employed;High School;Married; Female;34;8641;1398;true;Iphone, Seat
kocorren6i;Spain;01/01/1984;Self Employed;High School;Divorced; Male;40;3872;1898;false;iPhone, Others
daldersey6j;France;1/28/1980;Unknown;Bachelors;Married; Male;23;9019;617;true;Samsung, BMW
bhonack6k;Portugal;4/14/1978;Unknown;Bachelors;Married; Female;26;3041;1138;true;iPhone, Seat
gespinet6l;France;09/06/1980;Public;Bachelors;Married; Male;39,5;8733;577;false;Samsung, Audi
ledess6m;Spain;07/12/1988;Public;Masters;Married; Male;21,5;4032;1471;false;Iphone, Others
lbarensky6n;Spain;1/30/1988;Private;Bachelors;Separated; Male;10;7539;493;true;Others, Seat
acadden6o;Germany;8/22/1980;Unknown;High School;Married; Male;7;6011;320;false;Others, Ford
cgeorgel6p;Spain;8/21/1973;Public;Bachelors;Never Married; Female;19;8017;881;false;iPhone, Others
chordell6q;Portugal;2/26/1980;Private;Bachelors;Married; Male;37,5;9655;772;true;Iphone, Others
npaybody6r;Germany;11/20/1971;Public;Doctorate;Married; Male;19;30417;2113;true;iPhone, Others
gjest6s;Portugal;4/30/1984;Self Employed;Bachelors;Married; Male;39,5;7847;575;true;iPhone, Non
jdametti6t;Spain;4/19/1970;Private;High School;Divorced; Male;30,5;10281;1649;true;iPhone, Ford
dgordongiles6u;France;2/17/1971;Self Employed;High School;Married; Male;16,5;32178;3611;true;Others, Non
crubinsaft6v;Portugal;4/30/1975;Self Employed;High School;Never Married; Female;15;7636;335;false;Iphone, Others
bvallender6w;Italy;11/18/1985;Unknown;Bachelors;Married; Male;20;4809;1802;true;iPhone, Volkswagen
jherries6x;Germany;2/21/1976;Public;Masters;Married; Male;17;9876;396;false;Samsung, Others
mtregenza6y;Spain;7/30/1981;Private;Bachelors;Married; Female;12,5;6993;383;false;Iphone, Non
ppettko6z;Spain;02/12/1977;Public;Masters;Married; Female;18,5;13985;660;true;iPhone, Others
ehutsby70;Spain;5/17/1973;Private;Bachelors;Married; Female;39,5;9564;1288;false;iPhone, Others
coldred71;France;11/09/1975;Public;Bachelors;Separated; Male;35;4335;590;false;Iphone, Non
ctroucher72;France;4/19/1989;Unknown;High School;Married; Male;19;8245;707;true;iPhone, Audi
mjoutapavicius73;France;5/19/1975;Unknown;Doctorate;Married; Male;28,5;38218;6435;false;Iphone, Others
rloynton74;Spain;8/20/1987;Public;Masters;Never Married; Female;22,5;9255;1331;false;Iphone, Audi
dlocks75;Portugal;5/31/1989;Unknown;High School;Married; Female;27;7544;882;false;Others, Seat
fbarford76;Germany;09/02/1987;Unknown;Masters;Married; Female;23,5;4855;939;false;iPhone, Others
atrevithick77;Germany;02/07/1979;Unknown;High School;Separated; Male;40;6084;1897;false;iPhone, Audi
mtyndall78;Germany;12/05/1970;Unknown;Bachelors;Married; Female;16,5;78570;6525;true;iPhone, Others
hhavill79;Germany;07/10/1978;Unknown;Bachelors;Married; Male;34,5;7016;1935;false;iPhone, Others
gleatherland7a;Germany;03/10/1972;Self Employed;Masters;Never Married; Male;28,5;3877;1900;true;Samsung, Honda
